SAT_band_1,SAT_band_2,SAT_band_3,SAT_band_4,sensor_id,UAV_band_1,UAV_band_2,UAV_band_3,UAV_band_4
1002.0,1202.0,1891.0,2742.0,0,2808.0,3174.0,4080.0,3255.0
0.10291250050067902,0.11311499774456024,0.0,0.3353149890899658,1,2808.0,3174.0,4080.0,3255.0
1010.0,1206.0,1891.0,2864.0,0,3788.0,4316.0,5480.0,4673.0
0.11800999939441681,0.12329000234603882,0.0,0.34953251481056213,1,3788.0,4316.0,5480.0,4673.0
1476.0,1426.0,1990.0,2834.0,0,3432.0,3215.0,4242.0,3881.0
0.11800999939441681,0.12329000234603882,0.0,0.34953251481056213,1,3432.0,3215.0,4242.0,3881.0
1610.0,1456.0,1990.0,3140.0,0,4351.0,3729.0,5056.0,8299.0
0.11800999939441681,0.12329000234603882,0.0,0.34953251481056213,1,4351.0,3729.0,5056.0,8299.0
1662.0,1416.0,2203.0,3336.0,0,4212.0,3544.0,4706.0,7831.0
0.1421550065279007,0.12664499878883362,0.0,0.3719725012779236,1,4212.0,3544.0,4706.0,7831.0
1692.0,1412.0,2203.0,3360.0,0,4119.0,3402.0,4768.0,8404.0
0.1421550065279007,0.12664499878883362,0.0,0.3719725012779236,1,4119.0,3402.0,4768.0,8404.0
1692.0,1412.0,2203.0,3360.0,0,3604.0,3175.0,5445.0,8726.0
0.1421550065279007,0.12664499878883362,0.0,0.3719725012779236,1,3604.0,3175.0,5445.0,8726.0
1490.0,1528.0,2455.0,3539.0,0,4310.0,4919.0,8004.0,9711.0
0.15970000624656677,0.1648699939250946,0.0,0.37463998794555664,1,4310.0,4919.0,8004.0,9711.0
1774.0,1820.0,2455.0,3288.0,0,4259.0,4452.0,6627.0,7529.0
0.15970000624656677,0.1648699939250946,0.0,0.37463998794555664,1,4259.0,4452.0,6627.0,7529.0
1876.0,1882.0,2709.0,3397.0,0,3860.0,3660.0,6717.0,8966.0
0.15970000624656677,0.1648699939250946,0.0,0.37463998794555664,1,3860.0,3660.0,6717.0,8966.0
1998.0,2160.0,2709.0,3585.0,0,4723.0,5083.0,8106.0,9617.0
0.15970000624656677,0.1648699939250946,0.0,0.37463998794555664,1,4723.0,5083.0,8106.0,9617.0
1998.0,2160.0,2709.0,3585.0,0,4294.0,4689.0,7833.0,9684.0
0.15970000624656677,0.1648699939250946,0.0,0.37463998794555664,1,4294.0,4689.0,7833.0,9684.0
1914.0,2122.0,2716.0,3549.0,0,2978.0,2546.0,5445.0,8360.0
0.15970000624656677,0.1648699939250946,0.0,0.37463998794555664,1,2978.0,2546.0,5445.0,8360.0
1908.0,2002.0,2716.0,3360.0,0,3169.0,3064.0,5140.0,6443.0
0.14608749747276306,0.16536499559879303,0.0,0.3793424963951111,1,3169.0,3064.0,5140.0,6443.0
2064.0,2314.0,2571.0,3471.0,0,4559.0,4873.0,7123.0,7523.0
0.14608749747276306,0.16536499559879303,0.0,0.3793424963951111,1,4559.0,4873.0,7123.0,7523.0
2004.0,2204.0,2571.0,3485.0,0,4426.0,4556.0,6872.0,7428.0
0.14608749747276306,0.16536499559879303,0.0,0.3793424963951111,1,4426.0,4556.0,6872.0,7428.0
2004.0,2158.0,2411.0,3424.0,0,4315.0,4276.0,6488.0,7026.0
0.18161749839782715,0.19803500175476074,0.0,0.37062498927116394,1,4315.0,4276.0,6488.0,7026.0
2004.0,2158.0,2411.0,3424.0,0,4391.0,4270.0,6490.0,6926.0
0.18161749839782715,0.19803500175476074,0.0,0.37062498927116394,1,4391.0,4270.0,6490.0,6926.0
786.0,632.0,1185.0,3376.0,0,1905.0,1405.0,4727.0,9047.0
0.09180250018835068,0.09042750298976898,0.0,0.33402249217033386,1,1905.0,1405.0,4727.0,9047.0
